4.68743 113.125
4.73713 109.375
4.7868 106.25
4.8365 104.375
4.88618 103.75
4.93587 102.5
4.98557 102.5
5.03524 99.3747
5.08494 99.3747
5.13462 99.3747
5.18431 99.3747
5.23399 99.3747
5.28368 98.7498
5.33338 101.25
5.38306 102.5
5.43275 101.875
5.48243 98.7498
5.53213 98.1249
5.58182 96.8751
5.6315 96.8751
5.68119 96.8751
5.73087 96.8751
5.78057 95.6253
5.83026 95.6253
5.87994 95.6253
5.92963 95.6253
5.97931 95.6253
6.02901 95.0004
6.0787 93.7496
6.12838 91.8749
6.17807 91.2499
6.22775 91.2499
6.27745 91.2499
6.32714 91.2499
6.37682 91.2499
6.42651 84.375
6.47619 83.7501
6.52589 83.7501
6.57558 83.1252
6.62526 82.5003
6.67495 81.8754
6.72463 84.375
6.77433 83.1252
6.82402 80.6246
6.8737 78.125
6.92339 76.2503
6.97307 76.2503
7.02277 76.8752
7.07246 77.5001
7.12214 77.5001
7.17183 81.2505
7.22151 80.6246
7.27121 80.6246
7.3209 80.6246
7.37058 80.6246
7.42027 80.6246
7.46995 80.6246
7.51965 79.3748
7.56932 78.7499
7.61902 75.6253
7.66871 75.0004
7.71839 75.0004
7.76809 75.0004
7.81776 74.3746
7.86746 73.1247
7.91715 71.8749
7.96683 70.0002
8.01653 70.0002
8.0662 71.8749
8.1159 71.8749
8.16559 71.8749
8.21527 67.4996
8.26497 67.4996
8.31464 67.4996
8.36434 66.8747
8.41403 65.6249
8.46371 65
8.51341 70.0002
8.56308 70.0002
8.61278 69.3753
8.66247 68.1245
8.71215 67.4996
8.76185 67.4996
8.81152 67.4996
8.86122 67.4996
8.91091 66.8747
8.96059 66.8747
9.01029 67.4996
9.05996 66.8747
9.10966 65.6249
9.15935 65.6249
9.20903 65.6249
9.25873 65.6249
9.30841 65.6249
9.3581 65
9.4078 65
9.45747 65
9.50717 65
9.55685 64.3751
9.60654 63.1253
9.65624 61.2496
9.70591 61.2496
9.75561 61.2496
9.80529 61.2496
9.85498 60.6247
9.90468 60.6247
9.95435 60.6247
10.004 59.3749
10.0537 58.75
10.1034 57.5001
10.1531 56.2503
10.2028 54.9995
10.2525 54.9995
10.3022 54.9995
10.3519 55.6254
10.4015 55.6254
10.4512 55.6254
10.5009 55.6254
10.5506 57.5001
10.6003 55.6254
10.65 54.3746
10.6997 53.7497
10.7494 53.1248
10.799 53.1248
10.8487 53.1248
10.8984 53.1248
10.9481 53.7497
10.9978 53.7497
11.0475 55.6254
11.0972 53.7497
11.1469 53.7497
11.1966 53.1248
11.2462 51.875
11.2959 51.875
11.3456 51.875
11.3953 51.875
11.445 51.875
11.4947 52.4999
11.5444 53.1248
11.5941 51.2501
11.6437 50.6252
11.6934 49.3754
11.7431 49.3754
11.7928 49.3754
11.8425 48.1246
11.8922 48.1246
11.9419 49.3754
11.9916 49.3754
12.0412 48.1246
12.0909 44.3752
12.1406 44.3752
12.1903 44.3752
12.24 43.7503
12.2897 43.7503
12.3394 43.7503
12.3891 46.2499
12.4388 46.2499
12.4884 46.2499
12.5381 46.2499
12.5878 46.2499
12.6375 42.5004
12.6872 42.5004
12.7369 43.1253
12.7866 43.1253
12.8363 43.1253
12.8859 43.7503
12.9356 45.0001
12.9853 45.625
13.035 45.625
13.0847 45.0001
13.1344 44.3752
13.1841 43.1253
13.2338 43.1253
13.2834 43.1253
13.3331 43.1253
13.3828 43.1253
13.4325 43.1253
13.4822 43.7503
13.5319 45.0001
13.5816 45.0001
13.6313 46.2499
13.681 44.3752
13.7306 43.1253
13.7803 43.1253
13.83 41.8746
13.8797 41.8746
13.9294 41.8746
13.9791 41.8746
14.0288 41.8746
14.0785 40.6248
14.1281 40.6248
14.1778 39.9998
14.2275 39.9998
14.2772 39.3749
14.3269 39.3749
